255,255,255,255,255,255,255,253,254,255,255,253,255,255,253,255
255,254,254,255,255,253,251,255,255,255,250,255,255,254,253,255
255,253,255,253,255,254,255,254,252,255,253,255,250,255,255,250
254,252,254,255,253,253,255,251,254,255,255,252,254,251,254,255
255,254,255,252,255,252,255,255,255,253,255,255,1,255,251,254
252,254,253,253,255,1,250,255,251,254,253,255,0,252,255,254
255,255,255,255,249,0,2,255,255,255,255,0,3,254,255,255
255,249,255,253,255,255,0,255,253,255,0,2,0,253,254,255
254,255,253,255,255,255,255,0,2,0,1,1,255,255,253,255
255,253,255,252,255,254,255,255,253,255,255,1,253,254,255,255
255,255,254,254,255,254,252,255,255,255,0,0,255,252,255,254
251,255,249,255,254,255,255,254,255,0,1,255,249,255,255,255
255,255,255,250,255,0,0,3,2,0,255,255,255,255,255,253
255,255,254,255,254,255,255,255,254,253,253,255,255,254,253,255
255,251,255,255,255,252,255,254,255,255,255,254,254,255,253,255
254,255,255,255,253,255,255,255,255,254,253,255,254,255,252,255
